qtl_id,gene_id
QTL:3464107_4_11,Solyc11g011960.1
QTL:3464107_4_11,Solyc11g011970.1
QTL:3464107_4_11,Solyc11g011980.1
QTL:3464107_4_11,Solyc11g011990.1
QTL:3464107_4_11,Solyc11g012000.1
QTL:3464107_4_11,Solyc11g012010.1
QTL:3464107_4_11,Solyc11g012020.1
QTL:3464107_4_11,Solyc11g012030.1
QTL:3464107_4_11,Solyc11g012040.1
QTL:3464107_4_11,Solyc11g012050.1
QTL:3464107_4_11,Solyc11g012060.1
QTL:3464107_4_11,Solyc11g012070.1
QTL:3464107_4_11,Solyc11g012080.1
QTL:3464107_4_11,Solyc11g012090.1
QTL:3464107_4_11,Solyc11g012100.1
QTL:3464107_4_11,Solyc11g012110.1
QTL:3464107_4_11,Solyc11g012120.1
QTL:3464107_4_11,Solyc11g012130.1
QTL:3464107_4_11,Solyc11g012140.1
QTL:3464107_4_11,Solyc11g012150.1
QTL:3464107_4_11,Solyc11g012160.1
QTL:3464107_4_11,Solyc11g012170.1
QTL:3464107_4_11,Solyc11g012180.1
QTL:3464107_4_11,Solyc11g012190.1
QTL:3464107_4_11,Solyc11g012200.1
QTL:3464107_4_11,Solyc11g012210.1
QTL:3464107_4_11,Solyc11g012220.1
QTL:3464107_4_11,Solyc11g012230.1
QTL:3464107_4_11,Solyc11g012240.1
QTL:3464107_4_11,Solyc11g012250.1
QTL:3464107_4_11,Solyc11g012260.1
QTL:3464107_4_11,Solyc11g012270.1
QTL:3464107_4_11,Solyc11g012280.1
QTL:3464107_4_11,Solyc11g012290.1
QTL:3464107_4_11,Solyc11g012300.1
QTL:3464107_4_11,Solyc11g012310.1
QTL:3464107_4_11,Solyc11g012320.1
QTL:3464107_4_11,Solyc11g012330.1
QTL:3464107_4_11,Solyc11g012340.1
QTL:3464107_4_11,Solyc11g012350.1
QTL:3464107_4_11,Solyc11g012360.1
QTL:3464107_4_11,Solyc11g012370.1
QTL:3464107_4_11,Solyc11g012380.1
QTL:3464107_4_11,Solyc11g012390.1
QTL:3464107_4_11,Solyc11g012400.1
QTL:3464107_4_11,Solyc11g012410.1
QTL:3464107_4_11,Solyc11g012420.1
QTL:3464107_4_11,Solyc11g012430.1
QTL:3464107_4_11,Solyc11g012440.1
QTL:3464107_4_11,Solyc11g012450.1
QTL:3464107_4_11,Solyc11g012460.1
QTL:3464107_4_11,Solyc11g012470.1
QTL:3464107_4_11,Solyc11g012480.1
QTL:3464107_4_11,Solyc11g012490.1
QTL:3464107_4_11,Solyc11g012500.1
QTL:3464107_4_11,Solyc11g012510.1
QTL:3464107_4_11,Solyc11g012520.1
QTL:3464107_4_11,Solyc11g012530.1
QTL:3464107_4_11,Solyc11g012540.1
QTL:3464107_4_11,Solyc11g012550.1
QTL:3464107_4_11,Solyc11g012560.1
QTL:3464107_4_11,Solyc11g012570.1
QTL:3464107_4_11,Solyc11g012580.1
QTL:3464107_4_11,Solyc11g012590.1
QTL:3464107_4_11,Solyc11g012600.1
QTL:3464107_4_11,Solyc11g012610.1
QTL:3464107_4_11,Solyc11g012620.1
QTL:3464107_4_11,Solyc11g012630.1
QTL:3464107_4_11,Solyc11g012640.1
QTL:3464107_4_11,Solyc11g012650.1
QTL:3464107_4_11,Solyc11g012660.1
QTL:3464107_4_11,Solyc11g012670.1
QTL:3464107_4_11,Solyc11g012680.1
QTL:3464107_4_11,Solyc11g012690.1
QTL:3464107_4_11,Solyc11g012700.1
QTL:3464107_4_11,Solyc11g012710.1
QTL:3464107_4_11,Solyc11g012720.1
QTL:3464107_4_11,Solyc11g012730.1
QTL:3464107_4_13,Solyc11g008770.1
QTL:3464107_4_13,Solyc11g008780.1
QTL:3464107_4_13,Solyc11g008790.1
QTL:3464107_4_13,Solyc11g008800.1
QTL:3464107_4_13,Solyc11g008810.1
QTL:3464107_4_13,Solyc11g008820.1
QTL:3464107_4_13,Solyc11g008830.1
QTL:3464107_4_13,Solyc11g008840.1
QTL:3464107_4_13,Solyc11g008850.1
QTL:3464107_4_13,Solyc11g008860.1
QTL:3464107_4_13,Solyc11g008870.1
QTL:3464107_4_13,Solyc11g008880.1
QTL:3464107_4_13,Solyc11g008890.1
QTL:3464107_4_13,Solyc11g008900.1
QTL:3464107_4_13,Solyc11g008910.1
QTL:3464107_4_13,Solyc11g008920.1
QTL:3464107_4_13,Solyc11g008930.1
QTL:3464107_4_13,Solyc11g008940.1
QTL:3464107_4_13,Solyc11g008950.1
QTL:3464107_4_13,Solyc11g008960.1
QTL:3464107_4_13,Solyc11g008970.1
QTL:3464107_4_13,Solyc11g008980.1
QTL:3464107_4_13,Solyc11g008990.1
QTL:3464107_4_13,Solyc11g009000.1
QTL:3464107_4_13,Solyc11g009010.1
QTL:3464107_4_13,Solyc11g009020.1
QTL:3464107_4_13,Solyc11g009030.1
QTL:3464107_4_13,Solyc11g009040.1
QTL:3464107_4_13,Solyc11g009050.1
QTL:3464107_4_13,Solyc11g009060.1
QTL:3464107_4_13,Solyc11g009070.1
QTL:3464107_4_13,Solyc11g009080.1
QTL:3464107_4_15,Solyc11g008770.1
QTL:3464107_4_17,Solyc11g008770.1
QTL:3464107_4_17,Solyc11g008780.1
QTL:3464107_4_17,Solyc11g008790.1
QTL:3464107_4_17,Solyc11g008800.1
QTL:3464107_4_17,Solyc11g008810.1
QTL:3464107_4_17,Solyc11g008820.1
QTL:3464107_4_17,Solyc11g008830.1
QTL:3464107_4_17,Solyc11g008840.1
QTL:3464107_4_17,Solyc11g008850.1
QTL:3464107_4_17,Solyc11g008860.1
QTL:3464107_4_17,Solyc11g008870.1
QTL:3464107_4_17,Solyc11g008880.1
QTL:3464107_4_17,Solyc11g008890.1
QTL:3464107_4_17,Solyc11g008900.1
QTL:3464107_4_17,Solyc11g008910.1
QTL:3464107_4_17,Solyc11g008920.1
QTL:3464107_4_17,Solyc11g008930.1
QTL:3464107_4_17,Solyc11g008940.1
QTL:3464107_4_17,Solyc11g008950.1
QTL:3464107_4_17,Solyc11g008960.1
QTL:3464107_4_17,Solyc11g008970.1
QTL:3464107_4_17,Solyc11g008980.1
QTL:3464107_4_17,Solyc11g008990.1
QTL:3464107_4_17,Solyc11g009000.1
QTL:3464107_4_17,Solyc11g009010.1
QTL:3464107_4_17,Solyc11g009020.1
QTL:3464107_4_17,Solyc11g009030.1
QTL:3464107_4_17,Solyc11g009040.1
QTL:3464107_4_17,Solyc11g009050.1
QTL:3464107_4_17,Solyc11g009060.1
QTL:3464107_4_17,Solyc11g009070.1
QTL:3464107_4_17,Solyc11g009080.1
QTL:3464107_4_21,Solyc11g011990.1
QTL:3464107_4_21,Solyc11g012000.1
QTL:3464107_4_21,Solyc11g012010.1
QTL:3464107_4_21,Solyc11g012020.1
QTL:3464107_4_21,Solyc11g012030.1
QTL:3464107_4_21,Solyc11g012040.1
QTL:3464107_4_21,Solyc11g012050.1
QTL:3464107_4_21,Solyc11g012060.1
QTL:3464107_4_21,Solyc11g012070.1
QTL:3464107_4_21,Solyc11g012080.1
QTL:3464107_4_21,Solyc11g012090.1
QTL:3464107_4_21,Solyc11g012100.1
QTL:3464107_4_21,Solyc11g012110.1
QTL:3464107_4_21,Solyc11g012120.1
QTL:3464107_4_21,Solyc11g012130.1
QTL:3464107_4_21,Solyc11g012140.1
QTL:3464107_4_21,Solyc11g012150.1
QTL:3464107_4_21,Solyc11g012160.1
QTL:3464107_4_21,Solyc11g012170.1
QTL:3464107_4_21,Solyc11g012180.1
QTL:3464107_4_21,Solyc11g012190.1
QTL:3464107_4_21,Solyc11g012200.1
QTL:3464107_4_21,Solyc11g012210.1
QTL:3464107_4_21,Solyc11g012220.1
QTL:3464107_4_21,Solyc11g012230.1
QTL:3464107_4_21,Solyc11g012240.1
QTL:3464107_4_21,Solyc11g012250.1
QTL:3464107_4_21,Solyc11g012260.1
QTL:3464107_4_21,Solyc11g012270.1
QTL:3464107_4_21,Solyc11g012280.1
QTL:3464107_4_21,Solyc11g012290.1
QTL:3464107_4_21,Solyc11g012300.1
QTL:3464107_4_21,Solyc11g012310.1
QTL:3464107_4_21,Solyc11g012320.1
QTL:3464107_4_21,Solyc11g012330.1
QTL:3464107_4_21,Solyc11g012340.1
QTL:3464107_4_21,Solyc11g012350.1
QTL:3464107_4_21,Solyc11g012360.1
QTL:3464107_4_21,Solyc11g012370.1
QTL:3464107_4_21,Solyc11g012380.1
QTL:3464107_4_21,Solyc11g012390.1
QTL:3464107_4_21,Solyc11g012400.1
QTL:3464107_4_21,Solyc11g012410.1
QTL:3464107_4_21,Solyc11g012420.1
QTL:3464107_4_21,Solyc11g012430.1
QTL:3464107_4_21,Solyc11g012440.1
QTL:3464107_4_21,Solyc11g012450.1
QTL:3464107_4_21,Solyc11g012460.1
QTL:3464107_4_21,Solyc11g012470.1
QTL:3464107_4_21,Solyc11g012480.1
QTL:3464107_4_21,Solyc11g012490.1
QTL:3464107_4_21,Solyc11g012500.1
QTL:3464107_4_21,Solyc11g012510.1
QTL:3464107_4_21,Solyc11g012520.1
QTL:3464107_4_21,Solyc11g012530.1
QTL:3464107_4_21,Solyc11g012540.1
QTL:3464107_4_21,Solyc11g012550.1
QTL:3464107_4_21,Solyc11g012560.1
QTL:3464107_4_21,Solyc11g012570.1
QTL:3464107_4_21,Solyc11g012580.1
QTL:3464107_4_21,Solyc11g012590.1
QTL:3464107_4_21,Solyc11g012600.1
QTL:3464107_4_21,Solyc11g012610.1
QTL:3464107_4_21,Solyc11g012620.1
QTL:3464107_4_21,Solyc11g012630.1
QTL:3464107_4_21,Solyc11g012640.1
QTL:3464107_4_21,Solyc11g012650.1
QTL:3464107_4_21,Solyc11g012660.1
QTL:3464107_4_21,Solyc11g012670.1
QTL:3464107_4_21,Solyc11g012680.1
QTL:3464107_4_21,Solyc11g012690.1
QTL:3464107_4_21,Solyc11g012700.1
QTL:3464107_4_21,Solyc11g012710.1
QTL:3464107_4_21,Solyc11g012720.1
QTL:3464107_4_21,Solyc11g012730.1
QTL:3464107_4_25,Solyc11g011250.1
QTL:3464107_4_25,Solyc11g011260.1
QTL:3464107_4_25,Solyc11g011270.1
QTL:3464107_4_25,Solyc11g011280.1
QTL:3464107_4_25,Solyc11g011290.1
QTL:3464107_4_25,Solyc11g011300.1
QTL:3464107_4_25,Solyc11g011310.1
QTL:3464107_4_25,Solyc11g011320.1
QTL:3464107_4_25,Solyc11g011330.1
QTL:3464107_4_25,Solyc11g011340.1
QTL:3464107_4_25,Solyc11g011350.1
QTL:3464107_4_25,Solyc11g011360.1
QTL:3464107_4_25,Solyc11g011370.1
QTL:3464107_4_25,Solyc11g011380.1
QTL:3464107_4_25,Solyc11g011390.1
QTL:3464107_4_25,Solyc11g011400.1
QTL:3464107_4_25,Solyc11g011410.1
QTL:3464107_4_25,Solyc11g011420.1
QTL:3464107_4_25,Solyc11g011430.1
QTL:3464107_4_25,Solyc11g011440.1
QTL:3464107_4_25,Solyc11g011450.1
QTL:3464107_4_25,Solyc11g011460.1
QTL:3464107_4_25,Solyc11g011470.1
QTL:3464107_4_25,Solyc11g011480.1
QTL:3464107_4_25,Solyc11g011490.1
QTL:3464107_4_25,Solyc11g011500.1
QTL:3464107_4_25,Solyc11g011510.1
QTL:3464107_4_25,Solyc11g011520.1
QTL:3464107_4_25,Solyc11g011530.1
QTL:3464107_4_25,Solyc11g011540.1
QTL:3464107_4_25,Solyc11g011550.1
QTL:3464107_4_25,Solyc11g011560.1
QTL:3464107_4_25,Solyc11g011570.1
QTL:3464107_4_25,Solyc11g011580.1
QTL:3464107_4_25,Solyc11g011590.1
QTL:3464107_4_25,Solyc11g011600.1
QTL:3464107_4_25,Solyc11g011610.1
QTL:3464107_4_25,Solyc11g011620.1
QTL:3464107_4_25,Solyc11g011630.1
QTL:3464107_4_25,Solyc11g011640.1
QTL:3464107_4_25,Solyc11g011650.1
QTL:3464107_4_25,Solyc11g011660.1
QTL:3464107_4_25,Solyc11g011670.1
QTL:3464107_4_25,Solyc11g011680.1
QTL:3464107_4_25,Solyc11g011690.1
QTL:3464107_4_25,Solyc11g011700.1
QTL:3464107_4_25,Solyc11g011710.1
QTL:3464107_4_25,Solyc11g011720.1
QTL:3464107_4_25,Solyc11g011730.1
QTL:3464107_4_25,Solyc11g011740.1
QTL:3464107_4_25,Solyc11g011750.1
QTL:3464107_4_25,Solyc11g011760.1
QTL:3464107_4_25,Solyc11g011770.1
QTL:3464107_4_25,Solyc11g011780.1
QTL:3464107_4_25,Solyc11g011790.1
QTL:3464107_4_25,Solyc11g011800.1
QTL:3464107_4_25,Solyc11g011810.1
QTL:3464107_4_25,Solyc11g011820.1
QTL:3464107_4_25,Solyc11g011830.1
QTL:3464107_4_25,Solyc11g011840.1
QTL:3464107_4_25,Solyc11g011850.1
QTL:3464107_4_25,Solyc11g011860.1
QTL:3464107_4_25,Solyc11g011870.1
QTL:3464107_4_25,Solyc11g011880.1
QTL:3464107_4_25,Solyc11g011890.1
QTL:3464107_4_25,Solyc11g011900.1
QTL:3464107_4_25,Solyc11g011910.1
QTL:3464107_4_25,Solyc11g011920.1
QTL:3464107_4_25,Solyc11g011930.1
QTL:3464107_4_25,Solyc11g011940.1
QTL:3464107_4_25,Solyc11g011950.1
QTL:3464107_4_25,Solyc11g011960.1
QTL:3464107_4_25,Solyc11g011970.1
QTL:3464107_4_25,Solyc11g011980.1
QTL:3464107_4_25,Solyc11g011990.1
QTL:3464107_4_25,Solyc11g012000.1
QTL:3464107_4_25,Solyc11g012010.1
QTL:3464107_4_25,Solyc11g012020.1
QTL:3464107_4_25,Solyc11g012030.1
QTL:3464107_4_25,Solyc11g012040.1
QTL:3464107_4_25,Solyc11g012050.1
QTL:3464107_4_25,Solyc11g012060.1
QTL:3464107_4_25,Solyc11g012070.1
QTL:3464107_4_25,Solyc11g012080.1
QTL:3464107_4_25,Solyc11g012090.1
QTL:3464107_4_25,Solyc11g012100.1
QTL:3464107_4_25,Solyc11g012110.1
QTL:3464107_4_25,Solyc11g012120.1
QTL:3464107_4_25,Solyc11g012130.1
