qtl_id,trait_id
QTL:4551535_5_1,TO_0000457
QTL:4551535_5_15,TO_0000495
QTL:4551535_5_17,TO_0000495
QTL:4551535_5_18,TO_0000495
QTL:4551535_5_19,TO_0000495
QTL:4551535_5_26,SP_0000047
QTL:4551535_5_26,PO_0025522
QTL:4551535_5_27,SP_0000047
QTL:4551535_5_27,PO_0025522
QTL:4551535_5_29,SP_0000047
QTL:4551535_5_29,PO_0025522
QTL:4551535_5_6,TO_0000128
QTL:4551535_5_9,SP_0000402
QTL:4551535_5_9,TO_0000207
QTL:4551535_6_3,SP_0000402
QTL:4551535_6_3,TO_0000207
QTL:4551535_6_4,SP_0000402
QTL:4551535_6_4,TO_0000207
QTL:4551535_6_6,TO_0000495
QTL:4703618_2_1,TO_0000328
QTL:4703618_2_10,TO_0000696
QTL:4703618_2_11,TO_0000328
QTL:4703618_2_12,TO_0000328
QTL:4703618_2_14,TO_0000696
QTL:4703618_2_15,TO_0000328
QTL:4703618_2_16,TO_0000328
QTL:4703618_2_17,TO_0000328
QTL:4703618_2_18,TO_0000328
QTL:4703618_2_19,TO_0000696
QTL:4703618_2_22,TO_0000696
QTL:4703618_2_5,TO_0000328
QTL:4703618_2_6,TO_0000328
QTL:4703618_2_7,TO_0000696
QTL:4703618_2_9,TO_0000696
QTL:4900573_7_1,TO_0000693
QTL:4900573_7_10,TO_0000693
QTL:4900573_7_11,TO_0000174
QTL:4900573_7_11,TO_0000693
QTL:4900573_7_13,TO_0000693
QTL:4900573_7_3,TO_0000693
QTL:4900573_7_5,TO_0000693
QTL:4900573_7_6,TO_0000693
QTL:4900573_7_8,TO_0000693
QTL:4900573_7_9,TO_0000693
QTL:5567664_3_1,SP_0000198
QTL:5567664_3_1,TO_0000697
QTL:5567664_3_10,SP_0000198
QTL:5567664_3_10,TO_0000697
QTL:5567664_3_11,SP_0000198
QTL:5567664_3_11,TO_0000696
QTL:5567664_3_2,SP_0000198
QTL:5567664_3_2,TO_0000696
QTL:5567664_3_2,TO_0000697
QTL:5567664_3_3,SP_0000198
QTL:5567664_3_3,TO_0000696
QTL:5567664_3_4,SP_0000198
QTL:5567664_3_4,TO_0000696
QTL:5567664_3_4,TO_0000697
QTL:5567664_3_5,TO_0000696
QTL:5567664_3_6,SP_0000198
QTL:5567664_3_6,TO_0000696
QTL:5567664_3_6,TO_0000697
QTL:5567664_3_7,SP_0000198
QTL:5567664_3_7,TO_0000696
QTL:5567664_3_7,TO_0000697
QTL:5567664_3_8,SP_0000198
QTL:5567664_3_8,TO_0000697
QTL:5567664_3_9,SP_0000198
QTL:5567664_3_9,TO_0000696
QTL:5854731_4_21,TO_0000696
QTL:5854731_4_25,TO_0000696
QTL:5854731_4_5,TO_0000696
QTL:5895667_4_1,SP_0000201
QTL:5895667_4_10,SP_0000191
QTL:5895667_4_12,SP_0000191
QTL:5895667_4_16,SP_0000047
QTL:5895667_4_16,PO_0025522
QTL:5895667_4_17,SP_0000047
QTL:5895667_4_17,PO_0025522
QTL:5895667_4_18,SP_0000047
QTL:5895667_4_18,PO_0025522
QTL:5895667_4_2,SP_0000201
QTL:5895667_4_20,SP_0000188
QTL:5895667_4_4,SP_0000201
QTL:5895667_4_5,SP_0000201
QTL:5895667_4_7,SP_0000201
QTL:5895667_4_8,SP_0000201
QTL:3464107_4_1,TO_0000664
QTL:3464107_4_11,TO_0000664
QTL:3464107_4_13,TO_0000664
QTL:3464107_4_15,TO_0000664
QTL:3464107_4_17,TO_0000664
QTL:3464107_4_19,TO_0000664
QTL:3464107_4_2,TO_0000664
QTL:3464107_4_21,TO_0000664
QTL:3464107_4_24,TO_0000664
QTL:3464107_4_25,TO_0000664
QTL:3464107_4_26,TO_0000664
QTL:3464107_4_27,TO_0000664
QTL:3464107_4_28,TO_0000664
QTL:3464107_4_29,TO_0000664
