trait_id,trait_name
SP:0000047,"tuber"
SP:0000188,"tuber flesh color"
SP:0000191,"tuber eye depth"
SP:0000198,"yield"
SP:0000201,"tuber shape"
SP:0000402,"plant height"
TO:0000128,"harvest index"
TO:0000174,"maturity trait"
TO:0000207,"plant height"
TO:0000328,"sucrose content"
TO:0000457,"total biomass yield"
TO:0000495,"chlorophyll content"
TO:0000693,"NCLB area under disease progress curve"
TO:0000696,"starch content"
TO:0000697,"starch yield"
PO:0000001,"plant embryo proper"
PO:0000002,"anther wall"
PO:0000003,"whole plant"
PO:0000004,"in vitro plant structure"
PO:0000005,"cultured plant cell"
PO:0000006,"plant protoplast"
PO:0000007,"leaf-derived cultured plant cell"
PO:0000008,"root-derived cultured plant cell"
PO:0000009,"cultured plant callus"
PO:0000010,"cultured plant embryo"
PO:0000011,"cultured somatic plant embryo"
PO:0000012,"apical hook"
PO:0000013,"cauline leaf"
PO:0000014,"rosette leaf"
PO:0000015,"cotyledon primordium"
PO:0000016,"lateral root primordium"
PO:0000017,"vascular leaf primordium"
PO:0000018,"ovule primordium"
PO:0000019,"gynoecium primordium"
PO:0000020,"starch sheath cell"
PO:0000021,"petal primordium"
PO:0000022,"plant cuticle"
PO:0000023,"casparian strip"
PO:0000024,"filiform apparatus"
PO:0000025,"root tip"
PO:0000026,"primary root tip"
PO:0000027,"lateral root tip"
PO:0000028,"pollen tube tip"
PO:0000029,"root hair tip"
PO:0000030,"septum"
PO:0000031,"lenticel"
PO:0000032,"tetrad of microspores"
PO:0000033,"fruit valve"
PO:0000034,"vascular system"
PO:0000035,"cotyledon vascular system"
PO:0000036,"leaf vascular system"
PO:0000037,"shoot axis apex"
PO:0000038,"primary endosperm cell"
PO:0000039,"shoot axis vascular system"
PO:0000040,"adventitious root nodule"
PO:0000041,"epidermal cork cell"
PO:0000042,"shoot-borne root"
PO:0000043,"crown root"
PO:0000044,"prop root"
PO:0000045,"embryo root"
PO:0000046,"seminal root"
PO:0000047,"leaf lamina epidermis"
PO:0000048,"leaf lamina vascular system"
PO:0000049,"leaf lamina abaxial epidermis"
PO:0000050,"leaf lamina adaxial epidermis"
PO:0000051,"petiole epidermis"
PO:0000052,"petiole vascular system"
PO:0000053,"petiole cortex"
PO:0000054,"petal vascular system"
PO:0000055,"bud"
PO:0000056,"flower bud"
PO:0000057,"inflorescence bud"
PO:0000058,"vegetative bud"
PO:0000059,"root initial cell"
PO:0000060,"root cortex-endodermis initial cell"
PO:0000061,"lateral root-cap epidermal initial cell"
PO:0000062,"stomatal initial cell"
PO:0000063,"leaf procambial cell"
PO:0000064,"xylem pole pericycle cell"
PO:0000065,"phloem pole pericycle cell"
PO:0000066,"epithem cell"
PO:0000067,"proteoid root"
PO:0000071,"companion cell"
PO:0000074,"parenchyma cell"
PO:0000075,"collenchyma cell"
PO:0000076,"chlorenchyma cell"
PO:0000077,"sclerenchyma cell"
PO:0000078,"transfer cell"
PO:0000079,"fusiform initial cell"
PO:0000081,"axial cell"
PO:0000082,"ray initial cell"
PO:0000084,"plant sperm cell"
PO:0000112,"shoot axis epidermis"
PO:0000115,"socket cell"
PO:0000146,"abscission zone"
PO:0000191,"synergid"
PO:0000198,"free nuclear endosperm"
PO:0000199,"cellular endosperm"
PO:0000200,"micropylar endosperm"
PO:0000201,"chalazal cyst"
PO:0000207,"nectary epidermis"
PO:0000223,"shoot axis cortex"
PO:0000224,"central zone"
PO:0000225,"peripheral zone"
PO:0000226,"rib zone"
PO:0000229,"flower meristem"
PO:0000230,"inflorescence meristem"
PO:0000232,"axillary bud meristem"
PO:0000244,"functional megaspore"
PO:0000245,"degenerate megaspore"
PO:0000252,"endodermis"
PO:0000256,"root hair cell"
PO:0000258,"root cortex"
PO:0000262,"trichoblast"
PO:0000263,"non-hair root epidermal cell"
PO:0000272,"protoxylem"
PO:0000273,"xylem element"
PO:0000274,"xylem fiber cell"
PO:0000282,"trichome"
PO:0000283,"idioblast"
PO:0000284,"subsidiary cell"
PO:0000289,"sieve tube element"
PO:0000290,"tracheary element"
PO:0000293,"guard cell"
PO:0000295,"cambial initial cell"
PO:0000301,"tracheid"
PO:0000309,"nectary parenchyma"
PO:0000332,"epidermal pavement cell"
PO:0000349,"epidermal initial cell"
PO:0000351,"guard mother cell"
PO:0000352,"myrosin cell"
PO:0000353,"passage cell"
PO:0000355,"fiber tracheid"
PO:0000372,"metaxylem"
PO:0000373,"mucilage cell"
PO:0000400,"phloem mother cell"
PO:0000423,"plant zygote"
PO:0000431,"megasporocyte"
PO:0001000,"meristem elaboration"
PO:0001002,"fruit development stage"
PO:0001003,"vascular leaf anlagen formation stage"
PO:0001004,"anther development stage"
PO:0001005,"A archesporial cells visible stage"
PO:0001006,"B enlarged microsporocyte stage"
PO:0001007,"pollen development stage"
PO:0001008,"C callose wall formation in pollen mother cells stage"
PO:0001009,"D pollen mother cell meiosis stage"
PO:0001010,"F microspore release stage"
PO:0001011,"A microsporogenous mass stage"
PO:0001012,"G early unicellular microspore stage"
PO:0001013,"H late unicellular microspore stage"
PO:0001014,"I first mitotic division stage"
PO:0001015,"K second mitotic division stage"
PO:0001016,"L mature pollen stage"
PO:0001017,"M germinated pollen stage"
PO:0001018,"B formation of primary parietal and sporogenous cells stage"
PO:0001019,"vascular leaf primordium formation stage"
PO:0001020,"hood-shaped primordium stage"
PO:0001021,"formation of ligule primordium stage"
PO:0001023,"rapid elongation of vascular leaf lamina stage"
PO:0001024,"rapid elongation of leaf sheath stage"
PO:0001025,"C four anther lobes formed stage"
PO:0001026,"D locules established stage"
PO:0001027,"meristamtic zone formation"
PO:0001028,"elongation zone formation"
PO:0001029,"E tetrad stage"
PO:0001030,"specialization zone formation"
PO:0001031,"4 root elongation stage"
PO:0001032,"E anther wall tapetum degeneration initiated stage"
PO:0001034,"F bilocular anther stage"
PO:0001035,"G anther dehiscence stage"
PO:0001036,"H anther senescence stage"
PO:0001040,"dry seed stage"
PO:0001041,"chalazal and micropylar domain establishment stage"
PO:0001042,"functional specialization of the endosperm stage"
PO:0001044,"sepal differentiation and expansion stage"
PO:0001045,"fully expanded sepal stage"
PO:0001047,"lemma development stage"
PO:0001048,"palea development stage"
PO:0001049,"lodicule development stage"
PO:0001050,"leaf development stage"
PO:0001051,"vascular leaf initiation stage"
PO:0001052,"vascular leaf expansion stage"
PO:0001053,"vascular leaf post-expansion stage"
PO:0001054,"vascular leaf senescent stage"
PO:0001055,"lemma primordia visible stage"
PO:0001056,"lemma differentiation and expansion stage"
PO:0001057,"fully expanded lemma stage"
PO:0001058,"palea primordia visible stage"
PO:0001059,"J bicellular pollen stage"
PO:0001070,"palea differentiation and expansion stage"
PO:0001071,"fully expanded palea stage"
PO:0001072,"lodicule primordia visible stage"
PO:0001074,"N second mitotic division stage in germinating pollen"
PO:0001077,"lodicule differentiation and expansion stage"
PO:0001078,"plant embryo cotyledonary stage"
PO:0001079,"fully expanded lodicule stage"
PO:0001081,"mature plant embryo stage"
PO:0001083,"inflorescence development stage"
PO:0001094,"plant embryo coleoptilar stage"
PO:0001095,"plant embryo true leaf formation stage"
PO:0001096,"primary endosperm cell stage"
PO:0001097,"plant zygote stage"
PO:0001098,"formation of starchy endosperm"
PO:0001099,"formation of aleurone and starchy layers stage"
PO:0001170,"seed development stage"
PO:0001180,"plant proembryo stage"
PO:0001185,"plant embryo globular stage"
PO:0001378,"sepals enclosing meristem stage"
PO:0001380,"sepals enclosing flower bud stage"
PO:0002000,"stomatal complex"
PO:0002001,"papillae"
PO:0002002,"embryo basal cell"
PO:0002003,"xylem vessel member"
PO:0002004,"silk scar"
PO:0003000,"transition zone"
PO:0003003,"obsolete primary root elongation zone"
PO:0003004,"haustorial root"
PO:0003005,"shoot-borne nodal root"
PO:0003011,"root vascular system"
PO:0003014,"obsolete lateral root elongation zone"
PO:0003015,"primary root differentiation zone"
PO:0003016,"lateral root differentiation zone"
PO:0003017,"root cap of primary root"
PO:0003018,"root cap of lateral root"
PO:0003019,"central root cap of lateral root"
PO:0003020,"lateral root cap of lateral root"
PO:0003021,"central root cap of primary root"
PO:0003022,"lateral root cap of primary root"
PO:0003023,"root nodule"
PO:0003024,"stolon"
PO:0004000,"obsolete apical cell"
