gene_id,chrom,begin,end,gene_name,transcript_id,uniprot_acc,uniprot_reviewed,uniprot_des,uniprot_goa,sgn_des
PGSC0003DMG400001322,chromosome 2,46262505,46262930,102586194,PGSC0003DMT400003340,M0ZLH1,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400002471,chromosome 1,50944487,50945282,102585136,PGSC0003DMT400006324,M0ZR50,0,"Generated via protein_evidence_gt_2, Non-specific lipid-transfer protein ",GO:0006869 [lipid transport]; GO:0008289 [lipid binding],name: Non-specific lipid-transfer protein
PGSC0003DMG400004418,chromosome 9,15532653,15533688,,PGSC0003DMT400011286,M0ZZB6,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0003677 [DNA binding]; GO:0005730 [nucleolus]; GO:0005856 [cytoskeleton]; GO:0045892 [negative regulation of transcription, DNA-templated]; GO:0051510 [regulation of unidimensional cell growth]",name: ATOFP3/OFP3
PGSC0003DMG400004418,chromosome 9,15532653,15533688,,PGSC0003DMT400011285,M0ZZB5,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ","GO:0045892 [negative regulation of transcription, DNA-templated]",name: ATOFP3/OFP3
PGSC0003DMG400006678,chromosome 10,48978066,48982521,,PGSC0003DMT400017112,M1A8L1,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006520 [cellular amino acid metabolic process]; GO:0008483 [transaminase activity]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400006678,chromosome 10,48978066,48982521,,PGSC0003DMT400017110,M1A8K9,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006520 [cellular amino acid metabolic process]; GO:0008483 [transaminase activity]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400006678,chromosome 10,48978066,48982521,,PGSC0003DMT400017111,M1A8L0,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006520 [cellular amino acid metabolic process]; GO:0008483 [transaminase activity]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400006678,chromosome 10,48978066,48982521,,PGSC0003DMT400017113,M1A8L2,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0006520 [cellular amino acid metabolic process]; GO:0008483 [transaminase activity]; GO:0009058 [biosynthetic process]; GO:0030170 [pyridoxal phosphate binding],name: Aspartate aminotransferase
PGSC0003DMG400006993,chromosome 5,45421783,45429898,,PGSC0003DMT400018005,M1A9V9,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding],name: Class III peroxidase
PGSC0003DMG400006993,chromosome 5,45421783,45429898,,PGSC0003DMT400018003,M1A9V8,0,"Generated via protein_evidence_gt_2, Uncharacterized protein ",GO:0004601 [peroxidase activity]; GO:0006979 [response to oxidative stress]; GO:0020037 [heme binding]; GO:0042744 [hydrogen peroxide catabolic process]; GO:0046872 [metal ion binding],name: Class III peroxidase
